termo,categoria_semente,tipo_sinal
organizador de mesa acrilico,organizador de mesa,rising (130%)
suporte para celular veicular qual o melhor,suporte para celular,rising (23900%)
suporte de cabeça para celular,suporte para celular,rising (180%)
suporte para celular para filmar,suporte para celular,rising (60%)
suporte para celular tripe,suporte para celular,rising (60%)
suporte para celular cintura,suporte para celular,rising (50%)
gancho de parede infantil,gancho de parede,rising (700%)
um vaso decorativo quebrou,vaso decorativo,rising (85300%)
brinquedo educativo 6 meses,brinquedo educativo,rising (42750%)
brinquedo educativo 2 anos,brinquedo educativo,rising (60%)
suporte de utensílios de cozinha,utensílios de cozinha,rising (60%)
chaveiro personalizado dia dos pais,chaveiro personalizado,rising (250%)
chaveiro personalizado com foto,chaveiro personalizado,rising (70%)
chaveiro personalizado acrilico,chaveiro personalizado,rising (60%)
chaveiro personalizado resina,chaveiro personalizado,rising (50%)
cabideiro de piso,cabideiro,rising (300%)
cabideiro articulado,cabideiro,rising (60%)
