termo,categoria_semente,tipo_sinal
organizador de cabos pc,organizador de mesa,rising (86450%)
gaveteiro organizador,organizador de mesa,rising (50%)
organizador de cabos para mesa,organizador de mesa,rising (40%)
suporte para celular cintura,suporte para celular,rising (60%)
brinquedo educativo 8 anos,brinquedo educativo,rising (199050%)
brinquedo educativo 5 anos,brinquedo educativo,rising (160%)
brinquedo educativo 6 anos,brinquedo educativo,rising (80%)
suporte para utensílios de cozinha,utensílios de cozinha,rising (50%)
chaveiro personalizado para brinde,chaveiro personalizado,rising (161850%)
chaveiro personalizado casal,chaveiro personalizado,rising (124200%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (7700%)
chaveiro acrilico personalizado,chaveiro personalizado,rising (60%)
chaveiro abridor de garrafa personalizado,chaveiro personalizado,rising (60%)
chaveiro personalizado lembrancinha,chaveiro personalizado,rising (50%)
chaveiro personalizado com nome,chaveiro personalizado,rising (50%)
chaveiro de acrílico personalizado,chaveiro personalizado,rising (40%)
cabideiro eames,cabideiro,rising (5350%)
cabideiro tok stok,cabideiro,rising (200%)
cabideiro de chão moderno,cabideiro,rising (190%)
cabideiro para bolsas,cabideiro,rising (120%)
cabideiro articulado,cabideiro,rising (70%)
cabideiro de parede com prateleira,cabideiro,rising (50%)
cabideiro de chão madeira,cabideiro,rising (50%)
cabideiro com espelho,cabideiro,rising (40%)
