termo,categoria_semente,tipo_sinal
organizador de cabos para mesa,organizador de mesa,rising (90%)
organizador de gaveta,organizador de mesa,rising (50%)
organizador de fios,organizador de mesa,rising (50%)
organizador de cabos mesa,organizador de mesa,rising (50%)
suporte para celular na cama,suporte para celular,rising (140%)
suporte de celular para cabeça,suporte para celular,rising (80%)
como fazer um suporte para celular,suporte para celular,rising (70%)
brinquedo educativo 5 anos,brinquedo educativo,rising (297850%)
brinquedo educativo 8 anos,brinquedo educativo,rising (156350%)
brinquedo educativo 3 anos,brinquedo educativo,rising (170%)
brinquedo educativo 7 anos,brinquedo educativo,rising (70%)
chaveiro espelho personalizado,chaveiro personalizado,rising (99250%)
chaveiros personalizados,chaveiro personalizado,rising (42350%)
chaveiro plastificado personalizado,chaveiro personalizado,rising (22100%)
cabideiro articulado,cabideiro,rising (90%)
cabideiro extensivel,cabideiro,rising (50%)
cabideiro de chão moderno,cabideiro,rising (50%)
tubo cabideiro,cabideiro,rising (40%)
cabideiro para loja,cabideiro,rising (40%)
