termo,categoria_semente,tipo_sinal
organizador de fios,organizador de mesa,rising (50%)
suporte de celular para gravar videos,suporte para celular,rising (160%)
suporte para notebook,suporte para celular,rising (100%)
suporte para celular moto impermeável,suporte para celular,rising (100%)
suporte de cabeça para celular,suporte para celular,rising (90%)
suporte de peito para celular,suporte para celular,rising (90%)
suporte de celular para cama,suporte para celular,rising (80%)
gancho de parede infantil,gancho de parede,rising (40%)
gancho de porta,gancho de parede,rising (40%)
vaso de planta grande,vaso decorativo,rising (112350%)
vaso grande decorativo de chão para sala,vaso decorativo,rising (150%)
brinquedo educativo 6 anos,brinquedo educativo,rising (120%)
brinquedo educativo 4 anos,brinquedo educativo,rising (40%)
chaveiro de resina personalizado,chaveiro personalizado,rising (144300%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (102100%)
chaveiro plastificado personalizado,chaveiro personalizado,rising (71250%)
chaveiros personalizados,chaveiro personalizado,rising (600%)
chaveiro resina personalizado,chaveiro personalizado,rising (120%)
chaveiro personalizado lembrancinha,chaveiro personalizado,rising (50%)
chaveiro 3d,chaveiro personalizado,rising (40%)
cabideiro de parede com prateleira,cabideiro,rising (46950%)
cabideiro extensivo,cabideiro,rising (20100%)
cabideiro de bolsas,cabideiro,rising (70%)
cabideiro de pé,cabideiro,rising (60%)
cabideiro para bolsas,cabideiro,rising (50%)
cabideiro para loja,cabideiro,rising (50%)
cabideiro de chão madeira,cabideiro,rising (50%)
