termo,categoria_semente,tipo_sinal
organizador de mesa vertical,organizador de mesa,rising (50%)
garrafa com suporte para celular,suporte para celular,rising (170%)
suporte de cabeça para celular,suporte para celular,rising (110%)
suporte para celular cintura,suporte para celular,rising (80%)
suporte de celular para cama,suporte para celular,rising (60%)
suporte de braço para celular,suporte para celular,rising (50%)
suporte de peito para celular,suporte para celular,rising (40%)
suporte de parede para bicicleta,gancho de parede,rising (142700%)
gancho de parede infantil,gancho de parede,rising (84700%)
gancho de parede adesivo 3m,gancho de parede,rising (44700%)
gancho cabideiro,gancho de parede,rising (80%)
um vaso decorativo quebrou,vaso decorativo,rising (32950%)
vaso ceramica,vaso decorativo,rising (60%)
brinquedo educativo 6 meses,brinquedo educativo,rising (176700%)
brinquedo educativo 7 anos,brinquedo educativo,rising (62250%)
suporte de utensílios de cozinha,utensílios de cozinha,rising (60%)
chaveiro dia dos pais personalizado,chaveiro personalizado,rising (140%)
chaveiro de carro,chaveiro personalizado,rising (130%)
chaveiro com foto,chaveiro personalizado,rising (80%)
chaveiro com foto personalizado,chaveiro personalizado,rising (70%)
chaveiro acrilico,chaveiro personalizado,rising (60%)
chaveiro abridor personalizado,chaveiro personalizado,rising (50%)
chaveiro personalizado metal,chaveiro personalizado,rising (40%)
chaveiro acrilico personalizado,chaveiro personalizado,rising (40%)
caixa cabideiro,cabideiro,rising (70%)
arara cabideiro de parede,cabideiro,rising (40%)
