termo,categoria_semente,tipo_sinal
organizador de mesa aramado,organizador de mesa,rising (70%)
suporte celular cabeça,suporte para celular,rising (150%)
suporte de cabeça,suporte para celular,rising (140%)
suporte para celular gravar video,suporte para celular,rising (80%)
suporte para celular para gravar videos,suporte para celular,rising (50%)
suporte para celular moto impermeável,suporte para celular,rising (50%)
suporte para celular articulado,suporte para celular,rising (40%)
gancho de parede para plantas,gancho de parede,rising (170%)
ganchos de parede,gancho de parede,rising (50%)
gancho de parede adesivo 3m,gancho de parede,rising (40%)
vaso pequeno decorativo,vaso decorativo,rising (40%)
brinquedo educativo 7 anos,brinquedo educativo,rising (300%)
brinquedo menino,brinquedo educativo,rising (70%)
brinquedo criança 1 ano,brinquedo educativo,rising (50%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (133950%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (9900%)
cabideiro extensivo,cabideiro,rising (39000%)
mancebo cabideiro de chão,cabideiro,rising (140%)
cabideiro retrátil,cabideiro,rising (90%)
cabideiro de pé,cabideiro,rising (80%)
cabideiro para bolsas,cabideiro,rising (60%)
cabideiro com prateleira,cabideiro,rising (40%)
cabideiro basculante,cabideiro,rising (40%)
