termo,categoria_semente,tipo_sinal
organizador de fios,organizador de mesa,rising (60%)
gaveteiro organizador,organizador de mesa,rising (40%)
suporte de cabeça para celular,suporte para celular,rising (70%)
suporte para celular moto impermeável,suporte para celular,rising (50%)
suporte para notebook,suporte para celular,rising (50%)
ganchos de parede,gancho de parede,rising (222200%)
gancho de parede infantil,gancho de parede,rising (200%)
cabideiro,gancho de parede,rising (90%)
cabideiro de parede,gancho de parede,rising (80%)
gancho para pendurar,gancho de parede,rising (70%)
suporte de parede,gancho de parede,rising (50%)
vaso de flor,vaso decorativo,rising (80%)
vaso com planta artificial,vaso decorativo,rising (70%)
vaso decorativo para mesa,vaso decorativo,rising (40%)
brinquedo educativo para bebe,brinquedo educativo,rising (307200%)
brinquedo educativo 7 anos,brinquedo educativo,rising (93400%)
brinquedo educativo 6 meses,brinquedo educativo,rising (58300%)
brinquedo educativo 5 anos,brinquedo educativo,rising (170%)
brinquedo educativo 6 anos,brinquedo educativo,rising (130%)
brinquedo educativo 8 anos,brinquedo educativo,rising (120%)
brinquedo educativo 4 anos,brinquedo educativo,rising (50%)
chaveiro perto de mim,chaveiro personalizado,rising (106100%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (86250%)
chaveiro personalizado casal,chaveiro personalizado,rising (190%)
chaveiro de carro,chaveiro personalizado,rising (80%)
chaveiro personalizado com nome,chaveiro personalizado,rising (70%)
chaveiro personalizado lembrancinha,chaveiro personalizado,rising (70%)
chaveiro mdf personalizado,chaveiro personalizado,rising (60%)
cabideiro extensivo,cabideiro,rising (9900%)
cabideiro suspenso,cabideiro,rising (200%)
cabideiro de bolsas,cabideiro,rising (170%)
cabideiro de chão moderno,cabideiro,rising (120%)
cabideiro tok stok,cabideiro,rising (60%)
cabideiro articulado,cabideiro,rising (50%)
cabideiro de pé,cabideiro,rising (50%)
suporte para cabideiro,cabideiro,rising (40%)
