termo,categoria_semente,tipo_sinal
organizador de mesa aramado,organizador de mesa,rising (160%)
organizador de cabos para mesa,organizador de mesa,rising (100%)
organizador de cabos,organizador de mesa,rising (80%)
organizador de acrilico,organizador de mesa,rising (50%)
suporte para celular na cama,suporte para celular,rising (80%)
garrafa com suporte para celular,suporte para celular,rising (80%)
suporte para celular tripe,suporte para celular,rising (70%)
suporte de braço para celular,suporte para celular,rising (60%)
suporte de celular para cama,suporte para celular,rising (50%)
suporte universal para celular,suporte para celular,rising (40%)
suporte para celular com ventosa,suporte para celular,rising (40%)
gancho de parede para bicicleta,gancho de parede,rising (253200%)
gancho cabideiro,gancho de parede,rising (250%)
gancho para rede,gancho de parede,rising (130%)
gancho de rede,gancho de parede,rising (70%)
gancho para rede de parede,gancho de parede,rising (60%)
cabideiro,gancho de parede,rising (50%)
um vaso decorativo quebrou,vaso decorativo,rising (144500%)
vaso murano,vaso decorativo,rising (59100%)
vaso decorativo para mesa,vaso decorativo,rising (90%)
brinquedo educativo 6 meses,brinquedo educativo,rising (324100%)
brinquedo educativo 7 anos,brinquedo educativo,rising (145000%)
chaveiro plastificado personalizado,chaveiro personalizado,rising (23400%)
chaveiro abridor de garrafa,chaveiro personalizado,rising (170%)
chaveiro de carro,chaveiro personalizado,rising (100%)
chaveiro com foto personalizado,chaveiro personalizado,rising (60%)
chaveiro com foto,chaveiro personalizado,rising (50%)
chaveiro personalizado dia dos pais,chaveiro personalizado,rising (50%)
chaveiro mdf personalizado,chaveiro personalizado,rising (50%)
cabideiro extensível,cabideiro,rising (100%)
gancho de parede,cabideiro,rising (70%)
cabideiro de parede madeira,cabideiro,rising (40%)
