termo,categoria_semente,tipo_sinal
garrafa com suporte para celular,suporte para celular,rising (70%)
como fazer um suporte para celular,suporte para celular,rising (70%)
suporte para celular corrida,suporte para celular,rising (60%)
gancho de parede adesivo 3m,gancho de parede,rising (41700%)
vaso de flor,vaso decorativo,rising (60%)
vaso de flor decorativo,vaso decorativo,rising (50%)
brinquedo educativo 7 anos,brinquedo educativo,rising (61000%)
brinquedo educativo 6 meses,brinquedo educativo,rising (36700%)
brinquedo educativo 5 anos,brinquedo educativo,rising (150%)
brinquedo educativo para bebe,brinquedo educativo,rising (120%)
brinquedo educativo 4 anos,brinquedo educativo,rising (40%)
chaveiro personalizado casal,chaveiro personalizado,rising (30750%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (7350%)
chaveiro personalizado para brinde,chaveiro personalizado,rising (250%)
chaveiro de acrilico personalizado,chaveiro personalizado,rising (150%)
cabideiro de parede infantil,cabideiro,rising (200%)
cabideiro articulado,cabideiro,rising (90%)
cabideiro de chão moderno,cabideiro,rising (50%)
gancho cabideiro,cabideiro,rising (50%)
