termo,categoria_semente,tipo_sinal
organizador de mesa acrilico,organizador de mesa,rising (40%)
suporte para celular gravar video,suporte para celular,rising (140%)
suporte cabeça celular,suporte para celular,rising (140%)
suporte de celular para cabeça,suporte para celular,rising (120%)
suporte de cabeça,suporte para celular,rising (110%)
suporte para celular moto com carregador,suporte para celular,rising (90%)
gancho de parede adesivo 3m,gancho de parede,rising (60%)
vaso decorativo alto,vaso decorativo,rising (70%)
vaso decorativo grande,vaso decorativo,rising (60%)
brinquedo educativo 6 anos,brinquedo educativo,rising (100%)
brinquedo educativo 7 anos,brinquedo educativo,rising (80%)
brinquedo 1 ano,brinquedo educativo,rising (60%)
suporte para utensílios de cozinha,utensílios de cozinha,rising (70%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (90600%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (39100%)
chaveiro de acrilico personalizado,chaveiro personalizado,rising (80%)
