termo,categoria_semente,tipo_sinal
kit organizador de mesa escritório,organizador de mesa,rising (72600%)
organizador de fios,organizador de mesa,rising (80%)
suporte para celular moto impermeável,suporte para celular,rising (90%)
suporte para celular articulado,suporte para celular,rising (50%)
gancho de parede infantil,gancho de parede,rising (100%)
gancho de parede adesivo 3m,gancho de parede,rising (60%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (44250%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (11850%)
chaveiro personalizado com nome,chaveiro personalizado,rising (130%)
chaveiro personalizado metal,chaveiro personalizado,rising (60%)
cabideiro extensivo,cabideiro,rising (400%)
mancebo cabideiro de chão,cabideiro,rising (200%)
cabideiro para bolsas,cabideiro,rising (150%)
cabideiro industrial,cabideiro,rising (50%)
