termo,categoria_semente,tipo_sinal
organizador de maquiagem,organizador de mesa,rising (117750%)
carrinho organizador multiuso,organizador de mesa,rising (26850%)
organizador de cabos para mesa,organizador de mesa,rising (160%)
organizador de mesa acrilico,organizador de mesa,rising (120%)
organizador de cabos mesa,organizador de mesa,rising (60%)
organizador de cabos,organizador de mesa,rising (40%)
suporte para celular cintura,suporte para celular,rising (31350%)
suporte para celular na cama,suporte para celular,rising (150%)
garrafa com suporte para celular,suporte para celular,rising (110%)
suporte para celular veicular qual o melhor,suporte para celular,rising (100%)
suporte para celular tripe,suporte para celular,rising (50%)
suporte para celular em moto,suporte para celular,rising (50%)
gancho de parede adesivo 3m,gancho de parede,rising (274550%)
gancho de parede infantil,gancho de parede,rising (82400%)
gancho de parede para bicicleta,gancho de parede,rising (54850%)
ganchos de parede,gancho de parede,rising (400%)
um vaso decorativo quebrou,vaso decorativo,rising (31550%)
vaso de flor,vaso decorativo,rising (80%)
brinquedo educativo 6 meses,brinquedo educativo,rising (246500%)
chaveiro perto de mim,chaveiro personalizado,rising (86950%)
chaveiro personalizado acrilico,chaveiro personalizado,rising (70%)
chaveiro personalizado com foto,chaveiro personalizado,rising (60%)
chaveiro abridor de garrafa personalizado,chaveiro personalizado,rising (50%)
chaveiro de couro personalizado,chaveiro personalizado,rising (40%)
chaveiro resina personalizado,chaveiro personalizado,rising (40%)
cabideiro articulado,cabideiro,rising (120%)
cabideiro de piso,cabideiro,rising (70%)
cabideiro para bolsas,cabideiro,rising (40%)
cabideiro de pé,cabideiro,rising (40%)
