termo,categoria_semente,tipo_sinal
organizador de gavetas,organizador de mesa,rising (50%)
suporte de braço para celular,suporte para celular,rising (60%)
suporte para celular automotivo,suporte para celular,rising (50%)
suporte de parede para bicicleta,gancho de parede,rising (11250%)
gancho de parede adesivo 3m,gancho de parede,rising (50%)
um vaso decorativo quebrou,vaso decorativo,rising (25850%)
brinquedos educativos,brinquedo educativo,rising (110%)
brinquedo educativo 3 anos,brinquedo educativo,rising (60%)
brinquedo educativo 2 anos,brinquedo educativo,rising (40%)
chaveiro perto de mim,chaveiro personalizado,rising (73000%)
chaveiro dia dos pais,chaveiro personalizado,rising (180%)
chaveiro personalizado dia dos pais,chaveiro personalizado,rising (160%)
chaveiro personalizado metal,chaveiro personalizado,rising (100%)
chaveiro com foto personalizado,chaveiro personalizado,rising (100%)
chaveiro abridor de garrafa personalizado,chaveiro personalizado,rising (100%)
chaveiro de acrilico,chaveiro personalizado,rising (100%)
chaveiro de couro personalizado,chaveiro personalizado,rising (90%)
caixa cabideiro para mudança,cabideiro,rising (25350%)
cabideiro de piso,cabideiro,rising (50%)
cabideiro de bolsa,cabideiro,rising (40%)
