termo,categoria_semente,tipo_sinal
organizador de gaveta,organizador de mesa,rising (70%)
organizador de fio,organizador de mesa,rising (50%)
suporte para celular moto impermeável,suporte para celular,rising (25250%)
suporte para celular para gravar videos,suporte para celular,rising (120%)
suporte para celular articulado,suporte para celular,rising (40%)
suporte para celular moto com carregador,suporte para celular,rising (40%)
gancho de parede adesivo 3m,gancho de parede,rising (62700%)
vaso murano,vaso decorativo,rising (223750%)
vaso de planta grande,vaso decorativo,rising (110%)
vaso decorativo para planta,vaso decorativo,rising (50%)
brinquedo educativo 6 meses,brinquedo educativo,rising (139950%)
brinquedo educativo 6 anos,brinquedo educativo,rising (250%)
brinquedo educativo para bebe,brinquedo educativo,rising (190%)
brinquedo educativo 4 anos,brinquedo educativo,rising (120%)
brinquedo educativo 8 anos,brinquedo educativo,rising (70%)
brinquedo educativo 5 anos,brinquedo educativo,rising (50%)
suporte para utensílios de cozinha,utensílios de cozinha,rising (180%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (40500%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (12000%)
cabideiro extensivo,cabideiro,rising (10150%)
cabideiro para bolsas,cabideiro,rising (250%)
cabideiro de parede com prateleira,cabideiro,rising (100%)
cabideiro de chão moderno,cabideiro,rising (80%)
cabideiro de pé,cabideiro,rising (50%)
suporte para cabideiro,cabideiro,rising (40%)
