termo,categoria_semente,tipo_sinal
organizador de cabos pc,organizador de mesa,rising (15650%)
organizador de mesa vertical,organizador de mesa,rising (160%)
organizador de mesa acrilico,organizador de mesa,rising (50%)
suporte de celular para cabeça,suporte para celular,rising (100%)
suporte para celular corrida,suporte para celular,rising (70%)
suporte para celular cintura,suporte para celular,rising (50%)
brinquedo educativo 4 anos,brinquedo educativo,rising (400%)
brinquedo educativo 7 anos,brinquedo educativo,rising (190%)
brinquedo educativo para bebe,brinquedo educativo,rising (40%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (40400%)
chaveiros,chaveiro personalizado,rising (90%)
chaveiro personalizado para brinde,chaveiro personalizado,rising (60%)
chaveiro com nome personalizado,chaveiro personalizado,rising (50%)
chaveiro de acrilico personalizado,chaveiro personalizado,rising (50%)
cabideiro para bolsas,cabideiro,rising (85950%)
cabideiro para loja,cabideiro,rising (180%)
cabideiro de bolsas,cabideiro,rising (80%)
cabideiro de chão madeira,cabideiro,rising (80%)
cabideiro de parede com prateleira,cabideiro,rising (70%)
altura cabideiro,cabideiro,rising (40%)
cabideiro de pé,cabideiro,rising (40%)
