termo,categoria_semente,tipo_sinal
organizador de mesa aramado,organizador de mesa,rising (193450%)
organizador de maquiagem,organizador de mesa,rising (135350%)
organizador de fios,organizador de mesa,rising (70%)
organizador de fio,organizador de mesa,rising (50%)
suporte para celular gravar video,suporte para celular,rising (170%)
suporte de cabeça para celular,suporte para celular,rising (110%)
ring light com suporte para celular,suporte para celular,rising (90%)
suporte para celular moto impermeável,suporte para celular,rising (80%)
suporte para celular para filmar,suporte para celular,rising (60%)
suporte para celular moto com carregador,suporte para celular,rising (40%)
ganchos de parede,gancho de parede,rising (70%)
vaso de planta grande,vaso decorativo,rising (173800%)
vaso de flor decorativo,vaso decorativo,rising (110%)
vaso decorativo para planta,vaso decorativo,rising (60%)
brinquedo educativo 6 meses,brinquedo educativo,rising (67150%)
brinquedo educativo 7 anos,brinquedo educativo,rising (65600%)
brinquedo educativo 6 anos,brinquedo educativo,rising (100%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (116950%)
cabideiro extensivo,cabideiro,rising (50900%)
cabideiro de chão moderno,cabideiro,rising (200%)
cabideiro suspenso,cabideiro,rising (130%)
cabideiro industrial,cabideiro,rising (80%)
cabideiro de bolsas,cabideiro,rising (80%)
cabideiro para bolsas,cabideiro,rising (70%)
cabideiro de pé,cabideiro,rising (60%)
varal cabideiro,cabideiro,rising (50%)
