termo,categoria_semente,tipo_sinal
organizador de cabos,organizador de mesa,rising (50%)
organizador de gavetas,organizador de mesa,rising (50%)
garrafa com suporte para celular,suporte para celular,rising (120%)
como fazer um suporte para celular,suporte para celular,rising (60%)
suporte para celular tripe,suporte para celular,rising (60%)
gancho de parede para bicicleta,gancho de parede,rising (220750%)
gancho de parede adesivo 3m,gancho de parede,rising (126900%)
vaso de planta,vaso decorativo,rising (60%)
vaso decorativo para planta,vaso decorativo,rising (50%)
brinquedo educativo 6 meses,brinquedo educativo,rising (127550%)
brinquedo educativo 5 anos,brinquedo educativo,rising (160%)
brinquedo educativo 8 anos,brinquedo educativo,rising (120%)
chaveiro de acrilico personalizado,chaveiro personalizado,rising (300%)
chaveiro de acrilico,chaveiro personalizado,rising (130%)
chaveiro acrilico personalizado,chaveiro personalizado,rising (70%)
chaveiro personalizado resina,chaveiro personalizado,rising (60%)
chaveiro com foto personalizado,chaveiro personalizado,rising (50%)
cabideiro articulado,cabideiro,rising (160%)
cabideiro com espelho,cabideiro,rising (50%)
