termo,categoria_semente,tipo_sinal
organizador acrilico,organizador de mesa,rising (70%)
organizador de cabos mesa,organizador de mesa,rising (60%)
organizador de fios,organizador de mesa,rising (60%)
como fazer um suporte para celular,suporte para celular,rising (100%)
suporte para celular tripe,suporte para celular,rising (60%)
suporte para celular em moto,suporte para celular,rising (40%)
gancho de parede para bicicleta,gancho de parede,rising (317600%)
gancho de parede adesivo 3m,gancho de parede,rising (303650%)
vaso decorativo para mesa,vaso decorativo,rising (50%)
brinquedo educativo 8 anos,brinquedo educativo,rising (71950%)
brinquedo educativo 6 meses,brinquedo educativo,rising (50650%)
chaveiro personalizado resina,chaveiro personalizado,rising (212600%)
chaveiro plastificado personalizado,chaveiro personalizado,rising (19050%)
chaveiro abridor de garrafa,chaveiro personalizado,rising (50%)
cabideiro articulado,cabideiro,rising (100%)
cabideiro de madeira de chão,cabideiro,rising (60%)
cabideiro com espelho,cabideiro,rising (60%)
cabideiro tok stok,cabideiro,rising (50%)
