termo,categoria_semente,tipo_sinal
organizador de mesa vertical,organizador de mesa,rising (130%)
suporte de cabeça,suporte para celular,rising (140%)
suporte de cabeça para celular,suporte para celular,rising (130%)
suporte para celular gravar video,suporte para celular,rising (130%)
suporte para filmar com celular,suporte para celular,rising (70%)
suporte de celular para gravar videos,suporte para celular,rising (70%)
suporte de celular para moto com carregador,suporte para celular,rising (70%)
suporte de celular para cama,suporte para celular,rising (50%)
cabideiro de parede,gancho de parede,rising (100%)
gancho de parede para plantas,gancho de parede,rising (80%)
ganchos de parede,gancho de parede,rising (40%)
vaso de planta grande,vaso decorativo,rising (88900%)
vaso decorativo alto,vaso decorativo,rising (80%)
chaveiro em acrílico personalizado,chaveiro personalizado,rising (124900%)
chaveiro personalizado dia dos professores,chaveiro personalizado,rising (96950%)
uma microempresa especializou-se em produzir um tipo de chaveiro personalizado para brindes,chaveiro personalizado,rising (57400%)
como fazer chaveiro personalizado,chaveiro personalizado,rising (80%)
chaveiro com nome personalizado,chaveiro personalizado,rising (70%)
mancebo cabideiro de chão,cabideiro,rising (250%)
cabideiro basculante,cabideiro,rising (150%)
cabideiro de pé,cabideiro,rising (80%)
cabideiro suspenso,cabideiro,rising (70%)
