termo,categoria_semente,tipo_sinal
organizador de fio,organizador de mesa,rising (253450%)
gaveteiro organizador,organizador de mesa,rising (90%)
organizador de cabos para mesa,organizador de mesa,rising (50%)
suporte para celular veicular qual o melhor,suporte para celular,rising (24450%)
suporte para celular na cama,suporte para celular,rising (80%)
suporte para celular para filmar,suporte para celular,rising (40%)
suporte para celular pescoço,suporte para celular,rising (40%)
suporte para celular com ventosa,suporte para celular,rising (40%)
gancho de parede para bicicleta,gancho de parede,rising (189700%)
gancho de parede infantil,gancho de parede,rising (92900%)
ganchos de parede,gancho de parede,rising (70%)
suporte de parede,gancho de parede,rising (60%)
um vaso decorativo quebrou,vaso decorativo,rising (116650%)
vaso de flor decorativo,vaso decorativo,rising (110%)
vaso de flor,vaso decorativo,rising (90%)
brinquedo educativo 6 meses,brinquedo educativo,rising (152700%)
brinquedo educativo 7 anos,brinquedo educativo,rising (64100%)
brinquedo educativo 5 anos,brinquedo educativo,rising (130%)
brinquedo educativo 3 anos,brinquedo educativo,rising (50%)
brinquedo educativo 2 anos,brinquedo educativo,rising (50%)
suporte para utensílios de cozinha,utensílios de cozinha,rising (50%)
chaveiro com foto personalizado,chaveiro personalizado,rising (70%)
chaveiro de acrilico personalizado,chaveiro personalizado,rising (60%)
cabideiro de piso,cabideiro,rising (110%)
cabideiro articulado,cabideiro,rising (70%)
arara cabideiro de parede,cabideiro,rising (50%)
cabideiro de bolsa,cabideiro,rising (50%)
cabideiro suspenso,cabideiro,rising (50%)
cabideiro basculante,cabideiro,rising (40%)
